.,Portuguese
quest.name,"Perdendo a fé, parte I - O demônio no coração dela."
quest.description,"Padre Mateo acaba de chegar em Arkham para ser o novo padre da igreja de Bayfriar. Depois de sua primeira missa, a família Bechman convida ele e alguns de seus amigos mais próximos para um jantar de boas-vindas. Com o avanço da noite, eventos curiosos acontecem na casa. Você tem que descobrir o segredo perturbador que envolve os Bechmans. Será que a sua fé é forte o bastante para sobreviver a esta noite?"
quest.synopsys,Uma aventura de 3 partes estrelado por Padre Mateo em uma busca interior por sua fé. Parte 1: O demônio no coração dela.
quest.authors,"Andre Gregio (eVader)\nTester: Scrubbless, Vidimus\nTradução para o espanhol: Vidimus\nTradução para o português: Paulo José Moraes de Paula Santos, Rafael Bola, André Grégio"
quest.authors_short,Andre Gregio (eVader)
TokenSearch1_T1.button1,{action} Investigar
EventRemoveRichardB_T1.text,"Assim que Richard deixa o local pisando forte e resmungando em voz alta, Grace diz: <i> ""Por favor, não pense que o problema é você. Richard ainda não se recuperou por completo.""</i>\n\nRemova Richard Bechman do tabuleiro.\n\nO rosto de Grace fica sério e ela começa a organizar os pratos e talheres. O jantar pode ter acabado desastrosamente, mas mesmo de humor alterado, Grace nunca pula a parte da sobremesa..."
TokenSearch2_T3.button1,{action} Investigar
TokenSearch_T2.text,O documento sobre o topo da pilha assemelha-se a uma prescrição médica.
EventTalkGraceQ1Q2_T1.button3,Cancelar
EventCrazyRichard_T1.text,"Richard bate na mesa. Todo mundo de repente para de falar e olha para ele. Ele olha o teto e levanta a voz: \n \n ""<i> Você não consegue ficar calado nem por um minuto? </i>"" \n\n Ele corre para fora da sala de jantar \n\n Remova o marcador de pessoa de Richard do tabuleiro."
EventTalkRichard1_2_T1.text,"""<i> Eu não aguento mais! Vou ensinar uma lição a esses ratos agora </i>."" \n\n Richard se levanta da mesa e sai. Ele deixa a porta da sala de jantar aberta. Os convidados tentar fingir que nada aconteceu, mas Grace está visivelmente envergonhada. \n\n Remova o marcador de pessoa de Richard do tabuleiro. \nSubstitua o marcador de Exploração por um marcador de Avistamento como indicado."
EventDoor1_UNLOCKED_T1.text,Esta porta liga a cozinha com o salão principal da casa. Você chegou a partir desta porta.
SpawnPazuzu_T8.button1,Continuar
EventInitialTile.button1,Continuar
